name;beschreibung;lang1;lang2;lang3;lang4;lang5;lang6;lang7;lang8;lang9;lang10;lang11;lang12;id
formZeile3;;0,00 EUR Umsatz;0.00 € sales volume;;;;;;;;;;;339
formZeile4;;Nutzer gesperrt!;Banned user!;;;;;;;;;;;340
formZeile2;;länger als 2 Monate nicht eingeloggt;not logged in for more then 2 month;;;;;;;;;;;341
formZeile1;;länger als 1 Monat nicht eingeloggt;not logged in for more then 1 month;;;;;;;;;;;342
forgetPassText;;Bitte Ihre E-Mail-Adresse eingeben. Die Zugangsdaten werden Ihnen dann zugeschickt.;Please, enter your e-Mail address and we will send your access data immediately to you.;;;;;;;;;;;343
firstSite;;erste Seite;first page;;;;;;;;;;;344
firstName;;Vorname;first name;;;;;;;;;;;345
firma;;Firma;firm;;;;;;;;;;;346
files;;Dateien;files;;;;;;;;;;;347
file;;Datei;file;;;;;;;;;;;348
nofile;;Die ausgewählte Datei konnte nicht gefunden werden.;This file ist not readable.;;;;;;;;;;;349
noFileText;;<fieldset class="missing">%BREAK%<h2 class="txtRed">Es wurde bisher noch keine Schnittstelle aktiviert.</h2>%BREAK%Sie haben folgende Auswahlmöglichkeiten:<br /><br />%BREAK%<a href="'.makelink(11).'" class="arrow">Individuelle Schnittstellen aktivieren</a><br />%BREAK%<a href="'.makelink(38).'" class="arrow">Eine Standard-Schnittstelle auswählen</a><br /></fieldset>;;;;;;;;;;;;557
existsEmail;;Diese Emailadresse ist bereits registriert.;This email address is already  registered.;;;;;;;;;;;350
falseCode;;Geben Sie bitte die richtigen Zeichen der Spamschutz-Grafik ein.;Please, enter the correct character string found in the anti-SPAM picture.;;;;;;;;;;;351
errorText;;Es ist ein Fehler aufgetreten!;An error occurred!;;;;;;;;;;;352
errorStart;;Es traten folgende Fehler auf:;The following errors occurred:;;;;;;;;;;;353
download;;Download;download;;;;;;;;;;;354
email;;E-Mail;e-Mail;;;;;;;;;;;355
dataSortHead;;Einträge sortieren nach;sort records by;;;;;;;;;;;356
delete;;Löschen;delete;;;;;;;;;;;357
desc;;absteigend;descending;;;;;;;;;;;358
directory;;Verzeichnis;directory;;;;;;;;;;;359
country;;Land;country;;;;;;;;;;;360
dataSheet;;Datensatz;record;;;;;;;;;;;361
contactHead;;<h3>Kontaktseite</h3><div class=white><p>Bitte benutzen Sie für Anfragen und Anmeldungen dieses E-Mail-Formular.<br>Felder mit Sternchen <span class=inhalt_red>*</span> müssen ausgefüllt werden.</p></div>;<h3>enquiry form</h3><div class=white><p>Please use this e-Mail form for enquiries.<br>All fields with <span class=inhalt_red>*</span> are required.</p></div>;;;;;;;;;;;362
comment;;Kommentar;comment;;;;;;;;;;;363
choiceFile;;Wählen Sie eine Datei;Choose a file;;;;;;;;;;;364
captchaField;;Spamgrafik;anti-SPAM picture;;;;;;;;;;;365
captchaText;;Bitte mit der Zeichenfolge bestätigen;Please confirm with the character string below;;;;;;;;;;;366
abteilung;Abteilung;Abteilung;department;;;;;;;;;;;367
admin;;Administration;administration;;;;;;;;;;;368
administrator;;Administrator;administrator;;;;;;;;;;;369
asc;;aufsteigend;ascending;;;;;;;;;;;370
back;;zurück;back;;;;;;;;;;;371
freeTo;;Frei bis;free to;;;;;;;;;;;372
shoppingcartempty;;Zur Zeit befinden sich keine Artikel im Warenkorb!;Shoppinpcart is empty;;;;;;;;;;;373
gotocheckout;;Zur Kasse gehen;go to checkout;;;;;;;;;;;374
repeat;;wiederholen;repeat;;;;;;;;;;;375
markedFields;;markierte Felder mit Stern sind Pflichtfelder;marked fields are duty;;;;;;;;;;;376
loginForMembers;;Login für angemeldete Benutzer;login for members;;;;;;;;;;;377
loginForNewCustomers;;Anmeldung für Neukunden;Login for new customers;;;;;;;;;;;378
billingaddress;;Rechnungsadresse;Billing Address;;;;;;;;;;;379
submitOrderNow;;Bestellung abschicken;Submit order now;;;;;;;;;;;380
orderThanks;;Vielen Dank für Ihre Bestellung.;Thanks for you order.;;;;;;;;;;;381
orderThanksTxt;;Ihre Bestellung wurde erfolgreich angenommen.<br />Es wurde eine Bestätigungsmail an Ihre hinterlegte E-Mail Adresse geschickt.;;;;;;;;;;;;382
paynow;;Jetzt bezahlen;Pay Now;;;;;;;;;;;383
paypalTxt;;Sie haben als Zahlungsmethode <strong>PayPal</strong> ausgewählt.<br />Mit klicken auf Jetzt bezahlen werden Sie zu Paypal weitergeleitet.;;;;;;;;;;;;384
payok;;Bezahlung erfolgreich abgeschlossen;;;;;;;;;;;;385
payokTxt;;Ihre Bestellung wird jetzt bearbeitet und schnellstens ausgeliefert.<br /><br />%BREAK%Vielen Dank.;;;;;;;;;;;;386
payAlreadyOk;;Bezahlung wurde bereits abgeschlossen;;;;;;;;;;;;387
payAlreadyOkTxt;;Sollte Ihre Zahlung noch nicht erfolgt sein,<br />wenden Sie sich bitte per Telefon oder Email an uns.<br /><br />Vielen Dank.;;;;;;;;;;;;388
payment;;Bezahlung;Payment ;;;;;;;;;;;389
vorkasseTxt;;Sie haben als Zahlungsmethode <strong>Vorkasse</strong> gewählt.%BREAK%<br />Überweisen Sie bitte den Rechnungsbetrag an unten stehende Bankverbindung.;;;;;;;;;;;;390
orderNumber;;Bestellnummer;Ordernumber;;;;;;;;;;;391
totalbill;;Rechnungsbetrag;total bill;;;;;;;;;;;392
nachnahmeTxt;;Sie haben als Zahlungsmethode <strong>Nachnahme</strong> gewählt.%BREAK%  <br /><br />%BREAK%  Der Rechnungsbetrag wird direkt an den Kurier bezahlt.<br /><br />%BREAK%  Die DHL berechnet bei Nachnahmesendungen innerhalb Deutschlands zusätzlich noch einmal die sogenannte Geldübermittlungsgebühr. %BREAK%  Diese Gebühr muss der Empfänger beim Empfang des Pakets an den Postboten zahlen.<br /><br />%BREAK%  Bei Nachnahmen ins Ausland können ebenfalls zusätzliche Kosten anfallen.<br />Bitte erkundigen Sie sich über die genaue Höhe dieser Kosten bei Ihrer zuständigen Postfiliale.;;;;;;;;;;;;393
shoppingCartHeadline;;Meine Auswahl;my article;;;;;;;;;;;394
withoutTax;;Nettobetrag;without tax;;;;;;;;;;;395
annualFee;;Jahresgebühr;Annual Fee;;;;;;;;;;;396
totalSub;;Zwischensumme ;sub total;;;;;;;;;;;397
timeFee;;einmalige Gebühr;time fee;;;;;;;;;;;398
website;;Webseite;website;;;;;;;;;;;399
update;;aktualisiert;updated;;;;;;;;;;;400
cancel;;abbrechen;cancel;;;;;;;;;;;401
myCart;;Mein Warenkorb;my shoppingcart;;;;;;;;;;;402
expiredOn;;inaktiv seit;expired on;;;;;;;;;;;403
completed;;abgeschlossen;completed;;;;;;;;;;;404
openFrameTxtHeadline;;Ihre Datei wird jetzt erstellt.;the file is building.;;;;;;;;;;;405
other;;Sonstiges;other;;;;;;;;;;;406
adress;;Adresse;adress;;;;;;;;;;;407
ftp;;FTP;FTP;;;;;;;;;;;408
myOrder;;Meine Bestellungen;my orders;;;;;;;;;;;409
order;;Bestellung;order;;;;;;;;;;;410
duration;;Dauer;duration;;;;;;;;;;;411
month;;Monat(e);month(s);;;;;;;;;;;412
print;;drucken;print;;;;;;;;;;;413
bill;;Rechnung;billing;;;;;;;;;;;414
forgetLogin;;Benutzerdaten vergessen?;Forgot your access data?;;;;;;;;;;;415
recordDelete;;Diesen Eintrag löschen;Delete this record;;;;;;;;;;;416
info;;Informationen;information;;;;;;;;;;;417
continue;;Weiter;Continue;;;;;;;;;;;418
cart;;Warenkorb;shoppingcart;;;;;;;;;;;419
agbText;;Mit Ihrer Anmeldung erklären Sie sich mit unseren <a href='.makelink(16).'>AGB</a> sowie unserer <a href='.makelink(30).'>Datenschutzerklärung</a> einverstanden.;;;;;;;;;;;;420
safety;;Sicherheit;safety;;;;;;;;;;;421
legalNotice;;Rechtliche Hinweise;Legal Notice;;;;;;;;;;;422
thankYou;;Vielen Dank;Thank you;;;;;;;;;;;423
quantity;;Bestand;quantity;;;;;;;;;;;424
productName;;Name;name;;;;;;;;;;;425
itemno;;ID;id;;;;;;;;;;;426
newProduct;;Neuen Datensatz anlegen;Create a new record;;;;;;;;;;;427
productLangText;;Spracheinstellungen;;;;;;;;;;;;428
product;;Produkt;product;;;;;;;;;;;429
crossArticle;;Dazu passende Produkte;cross-article;;;;;;;;;;;430
descr;;Beschreibung;description;;;;;;;;;;;431
properties;;Freifelder/Variationen;Free fields/variations;;;;;;;;;;;432
picture;;Bild;Image;;;;;;;;;;;433
untitled;;unbenannt;untitled;;;;;;;;;;;434
productOfPage;;Sichtbare pro Seite;see on page;;;;;;;;;;;435
newCat;;Neue Kategorie anlegen;Add category;;;;;;;;;;;436
noDeleteEntry;;Dieser Eintrag kann nicht gelöscht werden. ;;;;;;;;;;;;437
products;;Produkte;products;;;;;;;;;;;438
choiceAll;;alle auswählen;select all;;;;;;;;;;;439
extCat;;Externe Kategorien;Extern categories;;;;;;;;;;;440
list;;Liste;list;;;;;;;;;;;441
paysoonok;;Ihre Bezahlung wird nach erfolgreicher Prüfung abgeschlossen.;;;;;;;;;;;;442
paynotok;;Bezahlung konnte nicht abgeschlossen werden.;;;;;;;;;;;;443
date;;Datum;date;;;;;;;;;;;444
sum;;Summe;sum;;;;;;;;;;;445
paymentOptions;;Zahlungsmöglichkeiten;payment options;;;;;;;;;;;446
accessData;;Zugangsdaten;access data;;;;;;;;;;;447
passwordRepeat;;Passwort wiederholen;password Repeat;;;;;;;;;;;448
contact;;Kontakt;contact;;;;;;;;;;;449
general;;allgemein;general;;;;;;;;;;;450
myProducts;;Meine Daten;my data;;;;;;;;;;;451
ownProducts;;Eigener Datenpool;Own datapool;;;;;;;;;;;452
okSeller;;Sie haben den Händler erfolgreich gewechselt.;seller changed successfully;;;;;;;;;;;453
noSeller;;Der Händler konnte nicht gewechselt werden.;seller changed no successfully;;;;;;;;;;;454
noSellerText;;<fieldset class="missing">%BREAK%<h2 class=txtRed>Sie müssen zuerst Ihre Grundeinstellungen bearbeiten, da mindestens eine Sprache angelegt sein muss!</h2>%BREAK%%BREAK%Sie haben folgende Auswahlmöglichkeiten:<br /><br />%BREAK%  <a href="'.makelink(34).'" class="arrow">Grundeinstellungen jetzt bearbeiten ...</a>%BREAK%</fieldset>;;;;;;;;;;;;455
noProductText;;<h2 class=txtRed>Sie haben noch keine Daten angelegt.</h2>%BREAK%<fieldset class="missing">Sie haben folgende Auswahlmöglichkeiten:<br /><br />%BREAK%  <a href="'.makelink(33).'" class="arrow">Daten anlegen</a>%BREAK%</fieldset>;;;;;;;;;;;;456
separator;;Trennzeichen Datenfeld;separator;;;;;;;;;;;457
textRecognition;;Texterkennungszeichen;text recognition;;;;;;;;;;;458
convert;;Jetzt konvertieren;convert now;;;;;;;;;;;459
fileSearch;;Dateiauswahl;search file;;;;;;;;;;;460
fileUpload;;Datei wird hochgeladen;upload file;;;;;;;;;;;461
change;;ändern;change;;;;;;;;;;;462
confirm;;bestätigen;confirm;;;;;;;;;;;463
unlockHeadline;;Weitere Schnittstellen;More interfaces;;;;;;;;;;;464
unlockText;;Bei jedem Abonnement werden monatlich von Ihrem Konto Credits abgezogen,<br />bis Sie dieses kündigen oder Ihre Credits für eine Verlängerung nicht mehr ausreichen.;Bei jedem Abonnement werden monatlich von Ihrem Konto Credits abgezogen,<br />bis Sie dieses kündigen oder Ihre Credits für eine Verlängerung nicht mehr ausreichen.;;;;;;;;;;;465
template;;Template;template;;;;;;;;;;;466
bestDelete;;Ja, es soll gelöscht werden;yes, delete this record;;;;;;;;;;;467
txtDelete;;Wollen Sie diese Daten löschen?;Delete this record?;;;;;;;;;;;468
xmlTag;;XML-Element der Produktdaten;XML element of the product data;;;;;;;;;;;628
lastInterfaceUpdate;;Letzte Aktualisierung der Schnittstelle:;Last update of the interface:;;;;;;;;;;;627
deactivate;;deaktivieren;deactivate;;;;;;;;;;;625
activate;;aktivieren;activate;;;;;;;;;;;626
noCredits;;Ihre Credits sind aufgebraucht.;;;;;;;;;;;;476
actionButtonTxt;;» mögliche Optionen;» available options;;;;;;;;;;;477
noAction;;Dieser Vorgang wurde abgebrochen.;unable to load file;;;;;;;;;;;478
readFileButtonImport;;Daten Importieren / Vorlage speichern;import now;;;;;;;;;;;479
allTemplates;;Vorhandene Template;exists templates;;;;;;;;;;;480
falseTransID;;Diese angegebene Transaktions-ID ist fehlerhaft oder es liegt keine Zahlung mit dieser ID vor.;;;;;;;;;;;;481
publicData;;Öffentlich;public;;;;;;;;;;;502
change;;wechseln;change;;;;;;;;;;;482
myAccountRecharge;;Mein Konto aufladen;recharge my account;;;;;;;;;;;483
paymentCheck;;Zahlung überprüfen bei nicht gebuchter Credits;Payment check in not booked credits;;;;;;;;;;;484
paymentCheckHead;;Zahlung überprüfen;Payment check;;;;;;;;;;;485
column;;Spalte;Column;;;;;;;;;;;486
assignmentColumns;;Spaltenzuordnung;Columns assignment;;;;;;;;;;;487
subscribeTo;;aktivieren;subscribe to;;;;;;;;;;;488
unlockInterfaces;;Schnittstelle aktivieren;interface activate;;;;;;;;;;;489
subscribed;;aktiviert;activated;;;;;;;;;;;490
cancelSubscription;Abonnement/Schnittstelle deaktivieren;Schnittstelle deaktivieren;deactivate interface;;;;;;;;;;;491
endAbo;Abonnement/Schnittstelle wurde deaktiviert.;Abonnement/Schnittstelle wurde deaktiviert.;Subscription/interface has been deactivated.;;;;;;;;;;;492
lastActivities;;Ihre letzten Aktivitäten;Your last activities;;;;;;;;;;;493
okAbo;;Abonnement/Schnittstelle wurde aktiviert.;Subscription/Interface has been activated.;;;;;;;;;;;494
unlockOption;;Weitere Optionen;More options;;;;;;;;;;;495
optionBooking;;Optionen buchen;booking options;;;;;;;;;;;496
subscription;;Abonnement;Subscription;;;;;;;;;;;497
option;;Optionen;options;;;;;;;;;;;498
noSubscriptionText;Diese Option wurde noch nicht aktiviert.;<fieldset class="missing">%BREAK%<h2 class=txtRed>Diese Option wurde noch nicht aktiviert.</h2>%BREAK%Mit dem folgenden Link können Sie diesen Service für sich freischalten:<br /><br />%BREAK%  <a href="'.makelink(38).'" class="arrow">Option jetzt aktivieren</a>%BREAK%</span></fieldset>;;;;;;;;;;;;499
choiceCatClass;;Kategoriezuordnung wählen;select a categories classification;;;;;;;;;;;500
artBelongTo;;Produkt in interner Kategorie;product in intern category;;;;;;;;;;;506
vorlage;;Vorlage;template;;;;;;;;;;;503
vorlagen;;Vorlagen;templates;;;;;;;;;;;504
readFileTxtConvert;;Datendatei konvertieren;data file convert;;;;;;;;;;;505
mydataSupplier;Anbieterdaten, Kontaktdaten;Anbieterdaten;supplier data;;;;;;;;;;;507
mydataContact;Ansprechpartner;Ansprechpartner;Contact;;;;;;;;;;;508
fax;Fax Telefax;Fax;fax;;;;;;;;;;;509
webAddress;Web-Adresse;Web-Adresse;web address;;;;;;;;;;;510
infoCompanyProducts;Angaben zu Firma und Produkten;Angaben zu Firma und Produkten;Information on company and products;;;;;;;;;;;511
headline;Überschrift;Überschrift;headline;;;;;;;;;;;512
nameContactSupplier;Firma, Name und Ansprechpartner;Firma, Name und Ansprechpartner;Company, Name and Contact;;;;;;;;;;;513
addressSupplier;Anschrift des Anbieters;Firmen-Anschrift;Supplier address;;;;;;;;;;;514
contactDetails;Kontaktdaten Anbieter;Kontaktdaten;Contact details;;;;;;;;;;;515
sellerInfo;;Anbieter-Informationen;seller information;;;;;;;;;;;516
compareFileButton;;Dateien jetzt vergleichen;compare now;;;;;;;;;;;517
compareFileTxt;;2 Dateien miteinander vergleichen;2 files compare;;;;;;;;;;;518
okUploads;;Dateien wurden geladen;files load successful;;;;;;;;;;;519
dataSheets;;Datensätze;records;;;;;;;;;;;520
refresh;;aktualisieren;update;;;;;;;;;;;521
nameTemplate;;Name der Vorlage;template name;;;;;;;;;;;523
nameCategoryTemplate;;Name Ihrer Kategoriezuordnung;name of your category template;;;;;;;;;;;524
downloadCSV;;Download Exportdatei;export file download;;;;;;;;;;;525
error_noCSVFile;;error_noCSVFile;;;;;;;;;;;;526
error_noCredits;;error_noCredits;;;;;;;;;;;;527
choiceColsName;;Spaltenname in Importdatei;import file column name;;;;;;;;;;;528
preDefinedContent;;vordefinierter Inhalt;predefined content;;;;;;;;;;;529
colsName;;Spaltenname in Schnittstelle;interface column name;;;;;;;;;;;530
ColumnNameInRow;;Spaltennamen stehen in Zeile;Column-names in row;;;;;;;;;;;531
convertInFile;Konvertieren in Datei für;Umwandeln in Datei für;convert as file for;;;;;;;;;;;532
columnClass;Vorlage Spaltenzuordnung;Vorlage Spaltenzuordnung;template column class;;;;;;;;;;;534
templateSave;Vorlage speichern;Vorlage speichern;template save;;;;;;;;;;;535
fileType;Datei-Typ;Datei-Typ;file type;;;;;;;;;;;536
deleteAllDataRecords;;ALLE bereits vorhandenen Datensätze dieser Datenquelle vorher löschen?;delete ALL existing data records in the datasource?;;;;;;;;;;;537
registerButtonTxt;;Jetzt kostenfrei einen Account registrieren!;Register now for free account!;;;;;;;;;;;602
noCategory;;Es wurden keine Kategorienzuordnungen gefunden!;No matching categories found!;;;;;;;;;;;538
subscriptions;subscriptions, Abonnements, Schnittstellen;Schnittstellen;Interfaces;;;;;;;;;;;539
unlockMoreInterfaces;;Neue Schnittstellen aktivieren;activate new interfaces;;;;;;;;;;;540
interface;;Schnittstelle(n);interface(s);;;;;;;;;;;541
wantToBookOption;;Möchten Sie diese Option aktivieren?;Do you want to activate this option?;;;;;;;;;;;542
wantToCancelSubscription;Möchten Sie dieses Abonnement/Schnittstelle deaktivieren?;Möchten Sie diese Schnittstelle deaktivieren? Achtung: Alle Daten werden gelöscht!;Do you want to deactivate this interface?;;;;;;;;;;;543
setupOwnInterfaces;;Grundeinstellungen Ihrer Schnittstelle;basic setup of your individuell interface;;;;;;;;;;;544
headOwnInterface;;Kopfbereich Ihrer Schnittstelle;head area of your interface;;;;;;;;;;;545
contentOwnInterface;;Inhaltsbereich Ihrer Schnittstelle;content area of your interface;;;;;;;;;;;546
footerOwnInterface;;Fußbereich Ihrer Schnittstelle;footer of your interface;;;;;;;;;;;547
PayPalAdress;;Paypal-Adresse;PayPal adress;;;;;;;;;;;548
paymentInstructions;;Zahlungshinweise für den Käufer (max. 500 Zeichen);Payment advices for the customer (max 500 signs);;;;;;;;;;;549
catIdentifiers;;Kategorie-Bezeichner;category identifiers;;;;;;;;;;;550
cronjob;;Cronjob;Cronjob;;;;;;;;;;;551
cronjobTxt;;Automatische Aktualisierung dieser Datei;Automatic update for this file;;;;;;;;;;;552
timeofday;;Uhrzeit;Time of day;;;;;;;;;;;553
modified;;geändert;modified;;;;;;;;;;;554
settingInfo;;Settings Informationen;settings information;;;;;;;;;;;555
overall;;insgesamt;overall;;;;;;;;;;;556
nameCronjob;;Name des Cronjobs;cronjob name;;;;;;;;;;;558
urlFileCronjob;;URL/FTP Importdatei;url/ftp import file;;;;;;;;;;;559
applySeller;;Händler übernehmen;apply seller;;;;;;;;;;;560
noSellerChoice;;Bitte Daten auswählen ...;Please select data ...;;;;;;;;;;;561
selectExportFile;;Exportdatei wählen;select export file;;;;;;;;;;;562
dataSource;;Datenquelle;Datasource;;;;;;;;;;;563
applyData;;Daten übernehmen;accept data;;;;;;;;;;;564
selectInterface;;Schnittstelle;interface;;;;;;;;;;;565
deleteAllCategories;;ALLE Kategorien zum Löschen markieren...;Mark ALL categories to deletion...;;;;;;;;;;;566
noCategorySeller;;Es wurden keine Kategorien für diese Datenquelle gefunden!;No matching categories found for this dadasource!;;;;;;;;;;;567
catExists;;Kategorie bereits vorhanden!;Category already exists!;;;;;;;;;;;568
refreshColumns;;Diese Einstellungen übernehmen;Make these settings;;;;;;;;;;;569
noEditDescr;;Titel/Beschreibungen nicht ändern;No edit title and description ;;;;;;;;;;;570
publicDataLimit;;Datenfreigabe nach Überprüfung des Nutzers;Data release after user verification;;;;;;;;;;;571
publicDataAll;;Daten für alle Nutzer freigeben;Sharing your data to all users;;;;;;;;;;;572
noExistsImportTemplate;;Sie haben noch keine Importvorlage angelegt.<br />Der Import von Daten muss mindestens 1x händisch durchgeführt werden muss (unter Datenpool ->Import).<br />Nur so wird eine Importvorlage gespeichert, welche Sie dann hier auswählen können.;No exists import template.;;;;;;;;;;;573
okCompare;;Daten wurden miteinander vergleichen.;complete files compare;;;;;;;;;;;574
deletedData;;Datensatz nicht vorhanden;record not available;;;;;;;;;;;575
newData;;Datensatz neu;record new;;;;;;;;;;;576
color;;Farbe;color;;;;;;;;;;;577
material;;Material;material;;;;;;;;;;;578
proberties;;Eigenschaften;proberties;;;;;;;;;;;579
priceold;;Alter Preis;old price;;;;;;;;;;;580
pricebasic;;Grundpreis;basic price;;;;;;;;;;;581
shippingCondition;;Versandkonditionen;shipping condition;;;;;;;;;;;582
smalldescr;;Kurzbeschreibung;short description;;;;;;;;;;;583
updateBlankField;;Leere Spalten nicht ins UPDATE einbeziehen!;Do not include empty columns to the UPDATE!;;;;;;;;;;;584
noFormat;;Formatierungen aus den Texten entfernen!;Remove formatting from the text!;;;;;;;;;;;585
listingFalseProductCat;;<h2>Datensätze sind einer Oberkategorie zugeordnet.</h2>%BREAK%Datensätze (Produkte) dürfen immer nur der jeweils letzten Unterkategorie zugeordnet sein (siehe Hilfetext!).;<h2>False category</h2>;;;;;;;;;;;586
listingFalseProductCatTxt;;Dieser Datensatz ist nicht einer der letzten Unterkategorien zugeordnet worden!(siehe Hilfetext!).;false category;;;;;;;;;;;587
ftpData;;FTP-Daten;ftp data;;;;;;;;;;;588
productFromCat;;Produkte aus folgenden Kategorien verwenden;Using products from the following categories;;;;;;;;;;;589
productWithoutCat;;Produkte ohne Kategoriezuordnung;Products unfiled;;;;;;;;;;;590
markedProductTxt;;Markierte Produkte folgender Kategorie zuordnen:;Assign selected products of the following category:;;;;;;;;;;;591
noColumnNameInRow;;keine Spaltennamen;no Column-names;;;;;;;;;;;592
compareProductCategory;;externe Produktkategorien abgleichen;syndicate product category;;;;;;;;;;;593
buildExtCat;;Externe Kategorien mit den internen Kategorien abgleichen?;Syndicate External categories with the internal categories?;;;;;;;;;;;594
deleteAllEntrys;;Datensätze zum Löschen markieren...;Mark records for deletion...;;;;;;;;;;;595
deleteAllTxt;;Alle ausgewählten Datensätze jetzt löschen?;Delete all selected records now?;;;;;;;;;;;596
newCronjobImportTxt;;Neuen Cronjob anlegen (Import);create new cronjob (import);;;;;;;;;;;597
okSupplier;;Sie haben die Datenquelle erfolgreich gewechselt.;data source changed successfully;;;;;;;;;;;599
noSupplier;;Die Datenquelle konnte nicht gewechselt werden.;data source changed no successfully;;;;;;;;;;;600
dataSources;;Datenquellen;Data sources;;;;;;;;;;;601
deleteAccount;;Account + Daten komplett löschen?;Delete account + data completely?;;;;;;;;;;;603
deleteAccountTxt;;Account und alle gespeicherten Daten JETZT unwideruflich löschen?!;Delete NOW this Account and all stored data irrevocably?!;;;;;;;;;;;604
openFrameTxtHeadlineImport;;Ihre Daten werden importiert.;Your data will be imported.;;;;;;;;;;;606
openFrameTxtImport;;Dieser Vorgang kann je nach Anzahl und Auswahl der Daten eine Weile dauern.<br />Das Fenster sollte während des Imports nicht geschlossen werden.;import file;;;;;;;;;;;607
openFrameTxtErrorImport;;<b>Es konnte nicht importiert werden.</b>;error;;;;;;;;;;;608
openFrameTxtErrorHeadlineImport;;Die Import konnte nicht gestartet werden.;import error;;;;;;;;;;;609
okImport;;<p>Produkte wurden erfolgreich importiert.</p>%BREAK%<a href="<?print makelink(33);?>" class="arrow">Zu meinen Produkten gehen ...</a><br />%BREAK%<a href="<?print makelink(7);?>" class="arrow">Exportdatei erstellen ...</a>;Products has been successfully imported.;;;;;;;;;;;610
newDataTxt;;Filter - Neuzugänge;new data;;;;;;;;;;;611
newData;;Nur neue Datensätze;Only new data records;;;;;;;;;;;612
columnSaveTemplate;;Als Vorlage speichern unter;save template;;;;;;;;;;;613
productTxtFrom;;Produkttexte verwenden aus;product texts using from;;;;;;;;;;;614
inCurrency;;In diese Währung umrechnen;Convert to this currency;;;;;;;;;;;615
noConvertCurrency;;Keine Umrechnung;no convert;;;;;;;;;;;616
advancedOption;;erweiterte Optionen;advanced options;;;;;;;;;;;617
availability;;Verfügbarkeit;Availability;;;;;;;;;;;618
masterData;;Stammdaten-Zuweisung;assign master data;;;;;;;;;;;619
assignMasterData;;Ihre Spalten den Stammdaten im Datenpool zuweisen;assign your columns to the master data;;;;;;;;;;;620
importOptions;;Import-Optionen;import options;;;;;;;;;;;621
selectImportOptions;;Import-Optionen wählen;select import options;;;;;;;;;;;622
basepriceunit;;Grundpreis Einheit;base price unit;;;;;;;;;;;623
basepricecontent;;Grundpreis Inhalt;base price content;;;;;;;;;;;624
fileChange;;Ihre Datei wird in das CSV-Format umgewandelt;Your file is converted to CSV format;;;;;;;;;;;629
allArticleWithQuantity;;Produkte mit Bestand;products with inventory;;;;;;;;;;;630
allArticleWithoutQuantity;;Produkte ohne Bestand;products without inventory;;;;;;;;;;;631
readMasterData;;Leere Produkttexte auffüllen?;Complete empty product texts?;;;;;;;;;;;632
katID;;Kategorie-ID;category-id;;;;;;;;;;;633
applyID;;ID übernehmen;accept id;;;;;;;;;;;634
productAttribute;;Artikelmerkmale;product attribute;;;;;;;;;;;635
readAttributesNeu;;Artikelmerkmale von eBay neu einlesen;read attributes from eBay now;;;;;;;;;;;636
lastSaveAttributes;;Letzte Speicherung der Artikelmerkmale;Last save the products attributes;;;;;;;;;;;637
cronjobImport;;Cronjob (Import);Cronjob (import);;;;;;;;;;;638
actionType;;Art des Eintrages;Type of Action;;;;;;;;;;;639
